000101, SEQID 14492, CYCLE 020 3500, SIZE 3892224, GAMMA 0.000, GAIN 65, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000102, SEQID 14493, CYCLE 020 4000, SIZE 3791360, GAMMA 0.000, GAIN 67, SHUTTER 76, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000103, SEQID 14494, CYCLE 020 4500, SIZE 3895808, GAMMA 0.000, GAIN 70, SHUTTER 76, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000104, SEQID 14495, CYCLE 020 5000, SIZE 3686912, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000105, SEQID 14496, CYCLE 020 5500, SIZE 3890688, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000106, SEQID 14497, CYCLE 020 6000, SIZE 3757568, GAMMA 0.000, GAIN 64, SHUTTER 77, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000107, SEQID 14498, CYCLE 020 6500, SIZE 3920384, GAMMA 0.000, GAIN 66, SHUTTER 77, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000108, SEQID 14499, CYCLE 020 7000, SIZE 3761152, GAMMA 0.000, GAIN 68, SHUTTER 77, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000109, SEQID 14500, CYCLE 020 7500, SIZE 3896832, GAMMA 0.000, GAIN 72, SHUTTER 77, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000110, SEQID 14501, CYCLE 021 0000, SIZE 3747840, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000111, SEQID 14502, CYCLE 021 0500, SIZE 3885056, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
000112, SEQID 14503, CYCLE 021 1000, SIZE 3765248, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52070500, LON 121.83681000, ALT 30.300, UTC 04:39:15.00
ERROR: Dropped frame : 1
000113, SEQID 14505, CYCLE 021 2000, SIZE 3753472, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000114, SEQID 14506, CYCLE 021 2500, SIZE 3855872, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000115, SEQID 14507, CYCLE 021 3000, SIZE 3928064, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000116, SEQID 14508, CYCLE 021 3500, SIZE 3729408, GAMMA 0.000, GAIN 64, SHUTTER 78, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
ERROR: Dropped frame : 2
000117, SEQID 14511, CYCLE 021 5000, SIZE 3732480, GAMMA 0.000, GAIN 67, SHUTTER 78, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000118, SEQID 14512, CYCLE 021 5500, SIZE 3862528, GAMMA 0.000, GAIN 68, SHUTTER 78, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
ERROR: Dropped frame : 2
000119, SEQID 14515, CYCLE 021 7000, SIZE 3855360, GAMMA 0.000, GAIN 64, SHUTTER 79, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000120, SEQID 14516, CYCLE 021 7500, SIZE 3900416, GAMMA 0.000, GAIN 65, SHUTTER 79, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000121, SEQID 14517, CYCLE 022 0000, SIZE 3928576, GAMMA 0.000, GAIN 68, SHUTTER 79, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
000122, SEQID 14518, CYCLE 022 0500, SIZE 3958784, GAMMA 0.000, GAIN 64, SHUTTER 80, LAT 24.52075667, LON 121.83685667, ALT 30.900, UTC 04:39:16.00
ERROR: Dropped frame : 2
000123, SEQID 14521, CYCLE 022 2000, SIZE 3955200, GAMMA 0.000, GAIN 67, SHUTTER 80, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
ERROR: Dropped frame : 1
000124, SEQID 14523, CYCLE 022 3000, SIZE 3988992, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
000125, SEQID 14524, CYCLE 022 3500, SIZE 4001792, GAMMA 0.000, GAIN 64, SHUTTER 81, LAT 24.52082333, LON 121.83689000, ALT 31.600, UTC 04:39:17.00
ERROR: Dropped frame : 1
